Taxon,Group
Asymmetron_lucayanum,Chondrichthyes
Asymmetron_inferum,Chondrichthyes
Epigonichthys_maldivensis,Chondrichthyes
Epigonichthys_cultellus,Chondrichthyes
Branchiostoma_japonicum,Chondrichthyes
Branchiostoma_belcheri,Chondrichthyes
Branchiostoma_lanceolatum,Chondrichthyes
Branchiostoma_floridae,Chondrichthyes
Amblyraja_radiata,Chondrichthyes
Rajella_fyllae,Chondrichthyes
Okamejei,Chondrichthyes
Bathyraja_parmifera,Chondrichthyes
Pavoraja_nitida,Chondrichthyes
Atlantoraja_castelnaui,Chondrichthyes
Cruriraja_hulleyi,Chondrichthyes
Sinobatis_bulbicauda,Chondrichthyes
Tetronarce_macneilli,Chondrichthyes
Typhlonarke_aysoni,Chondrichthyes
Narcine_tasmaniensis,Chondrichthyes
Platyrhina_sinensis,Chondrichthyes
Platyrhinoidis_triseriata,Chondrichthyes
Hexatrygon_bickelli,Chondrichthyes
Bathytoshia_brevicaudata,Chondrichthyes
Pteroplatytrygon_violacea,Chondrichthyes
Bathytoshia_lata,Chondrichthyes
Dasyatis,Chondrichthyes
Taeniura_meyeni,Chondrichthyes
Telatrygon_zugei,Chondrichthyes
Neotrygon_annotata,Chondrichthyes
Neotrygon cf. annotata BOLD:AAE1432,Chondrichthyes
Neotrygon_picta,Chondrichthyes
Neotrygon_leylandi,Chondrichthyes
Neotrygon_kuhlii,Chondrichthyes
Neotrygon_ningalooensis,Chondrichthyes
Taeniura_lymma,Chondrichthyes
Pastinachus,Chondrichthyes
Urogymnus_asperrimus,Chondrichthyes
Brevitrygon_walga,Chondrichthyes
Maculabatis_astra,Chondrichthyes
Himantura,Chondrichthyes
Potamotrygon_hystrix,Chondrichthyes
Potamotrygon_yepezi,Chondrichthyes
Potamotrygon_magdalenae,Chondrichthyes
Plesiotrygon_iwamae,Chondrichthyes
Plesiotrygon_nana,Chondrichthyes
Potamotrygon_orbignyi,Chondrichthyes
Potamotrygon_constellata,Chondrichthyes
Potamotrygon_falkneri,Chondrichthyes
Potamotrygon_tigrina,Chondrichthyes
Potamotrygon_motoro,Chondrichthyes
Potamotrygon_tatianae,Chondrichthyes
Heliotrygon_gomesi,Chondrichthyes
Urobatis_halleri,Chondrichthyes
Myliobatis,Chondrichthyes
Aetobatus_ocellatus,Chondrichthyes
Rhinoptera_steindachneri,Chondrichthyes
Mobula_rochebrunei,Chondrichthyes
Mobula_munkiana,Chondrichthyes
Mobula_mobular,Chondrichthyes
Mobula_japanica,Chondrichthyes
Mobula_birostris,Chondrichthyes
Mobula_tarapacana,Chondrichthyes
